session_id,write_time,obs_no,m1,m2,s,t1,t2,T,A,G
c323ac19-4f10-402c-9a03-9766f68b8278,20190706131247,1,250,220,188.2,2.38,,,,
c323ac19-4f10-402c-9a03-9766f68b8278,20190706131247,2,250,220,188.5,2.42,,,,
c323ac19-4f10-402c-9a03-9766f68b8278,20190706131247,3,200,110,188.5,1.74,,1.74,124.5211,428
c323ac19-4f10-402c-9a03-9766f68b8278,20190706131247,4,250,150,188.5,1.7,,,,
c323ac19-4f10-402c-9a03-9766f68b8278,20190706131247,5,150,110,188,2.02,,,,
c323ac19-4f10-402c-9a03-9766f68b8278,20190706131247,6,200,150,12,4.74,,,,
